Redshift,Comoving distance (Mpc),Luminosity distance (Mpc),Angular-diameter distance (Mpc),Proper distance (Mpc)
5.33,8229.181,52090.718,1300.029,3909.74
5.34,8234.322,52205.601,1298.789,3910.551
5.35,8239.45,52320.51,1297.551,3911.359
5.36,8244.567,52435.446,1296.316,3912.164
5.37,8249.672,52550.408,1295.082,3912.966
5.38,8254.764,52665.397,1293.85,3913.765
5.39,8259.845,52780.412,1292.621,3914.561
5.4,8264.914,52895.452,1291.393,3915.354
5.41,8269.972,53010.519,1290.167,3916.143
5.42,8275.017,53125.612,1288.944,3916.93
5.43,8280.051,53240.73,1287.722,3917.713
5.44,8285.074,53355.875,1286.502,3918.494
5.45,8290.085,53471.045,1285.284,3919.271
5.46,8295.084,53586.241,1284.069,3920.046
5.47,8300.072,53701.463,1282.855,3920.817
5.48,8305.048,53816.71,1281.643,3921.586
5.49,8310.013,53931.983,1280.433,3922.351
5.5,8314.966,54047.281,1279.226,3923.114
5.51,8319.909,54162.605,1278.02,3923.874
5.52,8324.84,54277.954,1276.816,3924.631
5.53,8329.759,54393.328,1275.614,3925.385
5.54,8334.668,54508.728,1274.414,3926.136
5.55,8339.565,54624.153,1273.216,3926.884
5.56,8344.452,54739.602,1272.02,3927.629
5.57,8349.327,54855.077,1270.826,3928.372
5.58,8354.191,54970.577,1269.634,3929.112
5.59,8359.044,55086.102,1268.444,3929.849
5.6,8363.887,55201.652,1267.256,3930.583
5.61,8368.718,55317.226,1266.069,3931.315
5.62,8373.539,55432.825,1264.885,3932.043
5.63,8378.348,55548.449,1263.703,3932.769
5.64,8383.147,55664.098,1262.522,3933.493
5.65,8387.935,55779.771,1261.344,3934.213
5.66,8392.713,55895.469,1260.167,3934.931
5.67,8397.48,56011.191,1258.992,3935.646
5.68,8402.236,56126.937,1257.82,3936.359
5.69,8406.982,56242.708,1256.649,3937.069
5.7,8411.717,56358.503,1255.48,3937.776
5.71,8416.442,56474.323,1254.313,3938.481
5.72,8421.156,56590.166,1253.148,3939.183
5.73,8425.859,56706.034,1251.985,3939.882
5.74,8430.553,56821.926,1250.824,3940.579
5.75,8435.236,56937.841,1249.665,3941.273
5.76,8439.908,57053.781,1248.507,3941.965
5.77,8444.571,57169.745,1247.352,3942.654
5.78,8449.223,57285.732,1246.198,3943.341
